A-7777261,Source1,2,2019-08-22 07:25:15,2019-08-22 07:52:34,38.065332,-122.16703,38.06919,-122.18316000000002,0.917,Between Southampton Rd East and Military West St - Accident.,I-780 W,Benicia,Solano,CA,94510,US,US/Pacific,KCCR,2019-08-22 07:53:00,71.0,71.0,73.0,29.75,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777262,Source1,2,2019-08-22 08:16:16,2019-08-22 08:45:08,37.727917,-122.402949,37.723623,-122.401341,0.309,At Paul Ave - Accident.,Bacon St,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2019-08-22 07:56:00,64.0,64.0,87.0,29.81,8.0,WNW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777263,Source1,2,2019-08-22 08:20:00,2019-08-22 08:49:21,38.399257,-122.74142,38.393434,-122.74162,0.402,At Rohnert Park - Accident., Butler Ave,Santa Rosa,Sonoma,CA,95407-8025,US,US/Pacific,KSTS,2019-08-22 07:53:00,66.0,66.0,93.0,29.65,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777264,Source1,2,2019-08-22 10:32:31,2019-08-22 11:01:05,37.294079,-121.938119,37.29671,-121.93948,0.197,At Hamilton Ave - Accident.,CA-17 N,Campbell,Santa Clara,CA,95008,US,US/Pacific,KSJC,2019-08-22 10:53:00,78.0,78.0,74.0,29.75,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777265,Source1,2,2019-08-22 11:50:06,2019-08-22 12:17:40,37.80624,-121.99027,37.804377,-121.989449,0.136,At El Capitan Dr - Accident., Camino Ramon,Danville,Contra Costa,CA,94526,US,US/Pacific,KCCR,2019-08-22 11:53:00,87.0,87.0,43.0,29.73,10.0,NNE,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777266,Source1,2,2019-08-22 10:32:31,2019-08-22 11:00:10,37.57288,-122.31604,37.57699,-122.32052,0.375,At Dore Ave/Exit 417A - Accident.,US-101 N,San Mateo,San Mateo,CA,94401,US,US/Pacific,KSFO,2019-08-22 10:56:00,71.0,71.0,73.0,29.81,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777267,Source1,2,2019-08-22 10:32:31,2019-08-22 11:01:29,37.775791,-122.405039,37.77848,-122.40061,0.305,At 4th St/5th St - Accident.,I-80 E,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2019-08-22 10:56:00,71.0,71.0,73.0,29.81,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777268,Source1,2,2019-08-22 11:44:01,2019-08-22 12:13:52,38.580752,-121.36521299999998,38.58112,-121.36439,0.051,At Eastern Ave/Lake Oak Ct - Accident., Columbia Dr,Sacramento,Sacramento,CA,95864-5356,US,US/Pacific,KMHR,2019-08-22 11:59:00,88.0,88.0,43.0,29.66,10.0,NW,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777269,Source1,2,2019-08-22 13:05:09,2019-08-22 13:33:48,37.85515,-122.02963,37.852316,-122.02906000000002,0.198,At Stone Valley Rd - Accident.,I-680 S,Alamo,Contra Costa,CA,94507,US,US/Pacific,KCCR,2019-08-22 12:53:00,90.0,90.0,39.0,29.71,10.0,NNW,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777270,Source1,3,2019-08-22 12:42:33,2019-08-22 13:11:25,37.636234,-121.800078,37.603228,-121.84386299999998,3.3080000000000003,At CA-84 - Accident.,Vallecitos Rd,Pleasanton,Alameda,CA,94566,US,US/Pacific,KLVK,2019-08-22 12:53:00,88.0,88.0,43.0,29.35,10.0,SW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777271,Source1,2,2019-08-22 13:02:10,2019-08-22 13:31:24,37.83645,-122.01186,37.83168,-122.00418,0.5329999999999999,Between El Pintado Rd and El Cerro Blvd - Accident.,I-680 S,Danville,Contra Costa,CA,94526,US,US/Pacific,KCCR,2019-08-22 12:53:00,90.0,90.0,39.0,29.71,10.0,NNW,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777272,Source1,2,2019-08-22 13:29:30,2019-08-22 13:59:30,37.39828,-122.0243,37.40079,-122.02729,0.239,Ramp to Mathilda Ave - Accident. Lane blocked.,US-101 N,Sunnyvale,Santa Clara,CA,94085,US,US/Pacific,KNUQ,2019-08-22 13:56:00,82.0,82.0,56.0,29.74,10.0,N,14.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777273,Source1,2,2019-08-22 14:15:37,2019-08-22 14:45:31,39.53892000000001,-122.193461,39.537067,-122.19345,0.128,At I-5-BL/County Road 99W/N Tehama St - Accident. Lane blocked., County Road 99W,Willows,Glenn,CA,95988-9608,US,US/Pacific,KCIC,2019-08-22 13:59:00,93.0,93.0,23.0,29.49,40.0,WNW,7.0,0.0,Partly Cloudy,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day
A-7777274,Source1,2,2019-08-22 14:15:37,2019-08-22 14:45:31,39.537067,-122.19345,39.53892000000001,-122.193461,0.128,At Chico - Accident. Lane blocked., N Tehama St,Willows,Glenn,CA,95988-9704,US,US/Pacific,KCIC,2019-08-22 13:59:00,93.0,93.0,23.0,29.49,40.0,WNW,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777275,Source1,2,2019-08-22 14:34:29,2019-08-22 15:03:33,37.752512,-122.40279,37.76197,-122.40578,0.674,At Vermont St - Accident.,James Lick Fwy N,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-08-22 14:53:00,78.0,78.0,56.0,29.76,10.0,WNW,15.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777276,Source1,2,2019-08-22 14:56:21,2019-08-22 15:23:32,40.893,-123.580119,40.891482,-123.575073,0.284,At Blue Lake - Accident. Lane blocked.,State Highway 299,Salyer,Trinity,CA,95563,US,US/Pacific,KACV,2019-08-22 14:53:00,63.0,63.0,72.0,29.69,9.0,NNW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777277,Source1,2,2019-08-22 15:04:32,2019-08-22 15:33:31,37.77848,-122.40061,37.78231,-122.39608,0.362,At 4th St/5th St - Accident. Lane blocked.,James Lick Fwy N,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2019-08-22 14:53:00,78.0,78.0,56.0,29.76,10.0,WNW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777278,Source1,2,2019-08-22 15:08:15,2019-08-22 15:37:49,38.581453,-121.463397,38.593908,-121.444581,1.332,At Exposition Blvd - Accident. in the left lane.,Capital City Fwy E,Sacramento,Sacramento,CA,95816,US,US/Pacific,KSAC,2019-08-22 14:53:00,96.0,96.0,26.0,29.68,10.0,WNW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777279,Source1,3,2019-08-22 15:01:31,2019-08-22 15:29:49,38.5997,-121.50468,38.59371,-121.5044,0.414,At Richards Blvd/Exit 520 - Accident. Two lanes blocked.,CA-99 S,Sacramento,Sacramento,CA,95811,US,US/Pacific,KSAC,2019-08-22 14:53:00,96.0,96.0,26.0,29.68,10.0,WNW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777280,Source1,2,2019-08-22 16:29:00,2019-08-22 16:58:54,37.70117,-121.85469,37.70107,-121.84356,0.608,At El Charro Rd/Fallon Rd - Accident. Lane blocked.,I-580 E,Pleasanton,Alameda,CA,94588,US,US/Pacific,KLVK,2019-08-22 16:53:00,92.0,92.0,37.0,29.27,10.0,W,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777281,Source1,2,2019-08-22 16:52:13,2019-08-22 17:21:10,37.65204,-122.09892,37.648761,-122.09684,0.254,At CA-92/Jackson St - Accident. Lane blocked.,Nimitz Fwy S,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2019-08-22 16:54:00,77.0,77.0,58.0,29.68,10.0,WNW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7777282,Source1,2,2019-08-22 17:13:12,2019-08-22 17:42:26,38.15073,-122.44957,38.15144,-122.44764,0.116,At CA-121/Arnold Dr/Carneros Hwy - Accident. Lane blocked., Sears Point Rd,Sonoma,Sonoma,CA,95476,US,US/Pacific,KO69,2019-08-22 17:15:00,86.0,86.0,43.0,29.62,9.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
